,term,score_date,score_value
0,a flu,2018-05-01,98.3840524892901
1,a flu,2018-05-02,140.5888756857291
2,a flu,2018-05-03,126.28511002752286
3,a flu,2018-05-04,81.99368347082455
4,a flu,2018-05-05,162.7072730092746
5,a flu,2018-05-06,95.83307335007844
6,a flu,2018-05-07,54.13086212510619
7,a flu,2018-05-08,53.55208177770661
8,a flu,2018-05-09,83.85430195376968
9,a flu,2018-05-10,85.95203795974626
1180,a flu,2018-05-11,63.447832352115896
1181,a flu,2018-05-12,85.74500419879436
1182,a flu,2018-05-13,136.8844300630696
1183,a flu,2018-05-14,118.60485345163048
1184,a flu,2018-05-15,70.89261375677485
1185,a flu,2018-05-16,92.86118627223092
1186,a flu,2018-05-17,121.43107447975228
1187,a flu,2018-05-18,58.51906034992075
1188,a flu,2018-05-19,74.54176696126892
1189,a flu,2018-05-20,54.48657874774132
1190,a flu,2018-05-21,92.65268677710792
1191,a flu,2018-05-22,85.89154443045331
1192,a flu,2018-05-23,70.90937554536092
1193,a flu,2018-05-24,95.48429232869374
1194,a flu,2018-05-25,71.4695596374949
1195,a flu,2018-05-26,62.25592480343131
1196,a flu,2018-05-27,72.07199880956742
1197,a flu,2018-05-28,52.23668956891523
1198,a flu,2018-05-29,106.8247493953516
1199,a flu,2018-05-30,60.25143448435636
1200,a flu,2018-05-31,85.68172917572518
3658,a flu,2018-06-01,71.89378523721024
3659,a flu,2018-06-02,88.53481743233075
3660,a flu,2018-06-03,61.46732329716952
3661,a flu,2018-06-04,60.4556586015874
3662,a flu,2018-06-05,129.46297337928254
3663,a flu,2018-06-06,71.37515711684645
3664,a flu,2018-06-07,86.00958561281682
3665,a flu,2018-06-08,32.36336943616241
3666,a flu,2018-06-09,73.23545362386926
3667,a flu,2018-06-10,80.04380000470617
3668,a flu,2018-06-11,89.45503702150017
3669,a flu,2018-06-12,85.95744191524554
3670,a flu,2018-06-13,80.37945467990937
3671,a flu,2018-06-14,45.85764138676738
3672,a flu,2018-06-15,89.51986593453995
3673,a flu,2018-06-16,52.84422139316536
3674,a flu,2018-06-17,51.9494871750767
3675,a flu,2018-06-18,61.68394304855895
3676,a flu,2018-06-19,115.0863169618894
3677,a flu,2018-06-20,93.73467065263486
3678,a flu,2018-06-21,55.278197183776406
3679,a flu,2018-06-22,67.46610078048856
3680,a flu,2018-06-23,103.44813676562477
3681,a flu,2018-06-24,110.52595571034404
3682,a flu,2018-06-25,63.52372080762023
3683,a flu,2018-06-26,95.3307813727805
3684,a flu,2018-06-27,87.95691259780644
3685,a flu,2018-06-28,39.88195690097742
3686,a flu,2018-06-29,17.131215099045317
3687,a flu,2018-06-30,47.377967565454455
7198,a flu,2018-07-01,70.52882499808703
7199,a flu,2018-07-02,92.69551359366382
7200,a flu,2018-07-03,46.809552679020165
7201,a flu,2018-07-04,56.14913102712946
7202,a flu,2018-07-05,72.1960700183654
7203,a flu,2018-07-06,39.57592337012014
7204,a flu,2018-07-07,45.69946214808655
7205,a flu,2018-07-08,80.13481128571682
7206,a flu,2018-07-09,0.0
7207,a flu,2018-07-10,74.44573890869275
7208,a flu,2018-07-11,67.19361419233945
7209,a flu,2018-07-12,64.7309806271355
7210,a flu,2018-07-13,81.48345236365613
7211,a flu,2018-07-14,64.66837833811769
7212,a flu,2018-07-15,61.74745259622747
7213,a flu,2018-07-16,78.21919580646245
7214,a flu,2018-07-17,54.88239874792637
7215,a flu,2018-07-18,56.66559590489444
7216,a flu,2018-07-19,82.3807769954716
7217,a flu,2018-07-20,66.70806838450476
7218,a flu,2018-07-21,37.35254738273605
7219,a flu,2018-07-22,90.66283793012774
7220,a flu,2018-07-23,119.44194408792865
7221,a flu,2018-07-24,55.35069809400711
7222,a flu,2018-07-25,80.41720410479773
7223,a flu,2018-07-26,96.04455325447891
7224,a flu,2018-07-27,32.50550422430159
7225,a flu,2018-07-28,35.469589780566665
7226,a flu,2018-07-29,83.7278713056336
7227,a flu,2018-07-30,46.42061142270659
7228,a flu,2018-07-31,47.35326403082442
10856,a flu,2018-08-01,88.38286618523766
10857,a flu,2018-08-02,63.428543812602655
10858,a flu,2018-08-03,66.76354042386315
10859,a flu,2018-08-04,47.85869741889665
10860,a flu,2018-08-05,72.58286700156522
10861,a flu,2018-08-06,79.0236559081265
10862,a flu,2018-08-07,70.32128803655382
10863,a flu,2018-08-08,32.0125143723612
10864,a flu,2018-08-09,103.42022082132814
10865,a flu,2018-08-10,113.5318785514124
10866,a flu,2018-08-11,55.526207233924325
10867,a flu,2018-08-12,86.14182226108741
10868,a flu,2018-08-13,79.0488838586844
10869,a flu,2018-08-14,78.98807272113685
10870,a flu,2018-08-15,97.0179358250458
10871,a flu,2018-08-16,63.80010756463119
10872,a flu,2018-08-17,50.753894823996006
10873,a flu,2018-08-18,74.52326384544406
10874,a flu,2018-08-19,45.10915918936608
10875,a flu,2018-08-20,88.22150060573651
10876,a flu,2018-08-21,113.69502213635757
10877,a flu,2018-08-22,114.45236683877896
10878,a flu,2018-08-23,105.36887509037206
10879,a flu,2018-08-24,76.38363097908426
10880,a flu,2018-08-25,75.09671357814712
10881,a flu,2018-08-26,71.39271733725063
10882,a flu,2018-08-27,95.0890052814162
10883,a flu,2018-08-28,96.7226745986462
10884,a flu,2018-08-29,105.42170006031304
10885,a flu,2018-08-30,98.63085066562404
10886,a flu,2018-08-31,75.79319008322767
14514,a flu,2018-09-01,102.20464386308738
14515,a flu,2018-09-02,109.29179865116396
14516,a flu,2018-09-03,142.20054122432552
14517,a flu,2018-09-04,72.37667583639121
14986,a flu,2018-09-05,130.34758668377907
14987,a flu,2018-09-06,211.0901519448873
14988,a flu,2018-09-07,185.39107683839148
15340,a flu,2018-09-08,150.13189934583377
15341,a flu,2018-09-09,231.2898431531377
15342,a flu,2018-09-10,209.94379505998123
